Hg,Hi,Hm,Hp,He,Ib-FDTD,Ir-FDTD,It-FDTD,Ib-CPN,Ir-CPN,It-CPN
90,40,250,20,35,16.6192,6.073,18.7329,16.6168,6.0027,19.0448
20,60,190,35,25,17.8273,7.7472,16.2753,17.8461,7.4697,15.9412
50,50,160,25,20,18.7234,7.4719,15.8398,18.7212,7.3988,15.5284
70,50,250,35,35,16.5361,6.5496,16.7961,16.5873,6.5639,17.0686
80,40,170,30,15,19.0727,6.2956,15.2852,18.9165,6.2579,15.5127
20,50,160,30,20,18.2364,8.4206,14.9262,18.2306,8.2601,14.7854
60,20,160,20,25,18.7328,6.9654,16.3839,18.6739,6.8404,16.699
20,60,250,15,20,17.1402,6.406,18.4437,17.1004,6.529,18.6685
80,60,160,25,25,18.4161,7.3475,15.6076,18.3386,7.2167,15.9314
10,30,230,25,30,16.5846,7.1354,18.7821,16.4238,7.1408,18.4522
50,20,250,20,15,17.3153,5.5063,19.2279,17.4301,5.5011,19.1846
10,30,250,35,15,16.9458,6.3939,17.0939,16.9928,6.3604,17.38
10,60,250,15,30,16.5287,7.3166,20.0735,16.4368,7.0443,19.9648
90,50,250,35,35,16.4987,6.5307,16.7865,16.5888,6.7377,16.9483
60,60,160,20,25,18.4955,7.4166,16.009,18.2926,7.4893,16.345
60,40,250,30,20,17.5226,5.7313,17.2869,17.5312,5.5588,17.4061
70,30,170,20,15,19.1973,5.9989,16.3995,19.0635,6.174,16.7389
30,30,250,30,15,17.1989,6.0618,17.8075,17.3336,5.8865,17.9248
20,60,250,35,25,16.9691,7.3226,17.8737,17.0673,7.2468,17.7236
40,60,250,20,20,17.4569,6.2582,17.8179,17.3368,6.209,18.006
20,20,250,15,25,16.2709,7.3559,20.7997,16.5432,7.0482,20.6232
10,40,250,30,25,16.5388,6.7916,19.2644,16.6149,6.795,19.0136
10,50,250,25,20,16.9083,6.8135,17.4637,16.9971,6.5641,17.7197
90,30,250,15,35,16.6046,5.8845,19.543,16.5904,5.8592,19.7339
50,50,170,30,15,18.7547,7.118,14.8832,18.5781,6.961,15.1947
30,30,250,25,15,17.1673,5.9335,18.3821,17.2885,5.9036,18.4733
90,30,160,35,15,19.2465,6.5834,15.6496,19.0248,6.6103,15.3187
30,20,250,20,20,16.7659,6.4812,18.4034,16.9865,6.1573,18.6829
50,40,250,30,15,17.6427,5.7431,17.6807,17.6465,5.6159,17.7497
10,40,250,20,20,16.7268,6.6515,18.1776,16.7897,6.4722,18.5164
50,50,160,35,25,18.403,7.6626,14.4745,18.3216,7.579,14.7876
40,60,250,15,30,16.9369,6.8797,20.0838,16.6919,6.638,19.9689
30,60,160,20,20,18.3772,8.2836,15.9415,18.3571,8.2167,15.7603
30,30,250,15,35,15.9108,6.6659,19.4838,16.0692,6.5835,19.813
30,60,230,25,30,17.1592,6.9744,18.2945,17.0379,6.921,18.0297
10,60,250,30,25,16.8042,7.2354,18.5901,16.9623,7.0884,18.5375
100,40,180,35,30,18.1085,6.5107,15.2644,18.216,6.5951,15.5897
50,50,170,25,15,18.7877,6.9133,15.4056,18.5929,6.8745,15.7532
80,20,160,35,20,19.2247,6.6011,15.3581,18.9813,6.5803,15.2993
30,50,250,35,25,16.9964,6.8832,18.2472,16.987,6.8563,18.1492
