Hg,Hi,Hm,Hp,He,Ib,Ir,It,|Ka|
90 ,20 ,240 ,15 ,20 ,18.0616 ,5.6273 ,20.2768 ,2.2151 
10 ,20 ,250 ,15 ,25 ,16.1295 ,7.9184 ,20.4128 ,4.2833 
100 ,20 ,250 ,15 ,25 ,17.3343 ,5.9944 ,21.0713 ,3.7370 
20 ,20 ,250 ,15 ,25 ,16.2709 ,7.3559 ,20.7997 ,4.5288 
30 ,20 ,250 ,15 ,25 ,16.4283 ,6.8261 ,21.1420 ,4.7137 
40 ,20 ,250 ,15 ,25 ,16.5984 ,6.3491 ,21.4236 ,4.8252 
50 ,20 ,250 ,15 ,25 ,16.7675 ,5.9787 ,21.6086 ,4.8412 
60 ,20 ,250 ,15 ,25 ,16.9316 ,5.7273 ,21.6892 ,4.7576 
70 ,20 ,250 ,15 ,25 ,17.0762 ,5.6106 ,21.6638 ,4.5876 
80 ,20 ,250 ,15 ,25 ,17.1976 ,5.6285 ,21.5360 ,4.3384 
90 ,20 ,250 ,15 ,25 ,17.2846 ,5.7599 ,21.3344 ,4.0498 
10 ,20 ,160 ,15 ,25 ,17.3536 ,9.6258 ,15.9161 ,1.4375 
100 ,20 ,160 ,15 ,25 ,19.1874 ,6.7652 ,16.7859 ,2.4015 
20 ,20 ,160 ,15 ,25 ,17.5008 ,9.1555 ,16.1406 ,1.3602 
30 ,20 ,160 ,15 ,25 ,17.8257 ,8.5285 ,16.3863 ,1.4394 
40 ,20 ,160 ,15 ,25 ,18.1377 ,7.9554 ,16.6037 ,1.5340 
50 ,20 ,160 ,15 ,25 ,18.4304 ,7.4536 ,16.7833 ,1.6471 
60 ,20 ,160 ,15 ,25 ,18.6851 ,7.0669 ,16.9034 ,1.7817 
70 ,20 ,160 ,15 ,25 ,18.8962 ,6.8043 ,16.9600 ,1.9361 
80 ,20 ,160 ,15 ,25 ,19.0521 ,6.6718 ,16.9543 ,2.0978 
90 ,20 ,160 ,15 ,25 ,19.1496 ,6.6677 ,16.8894 ,2.2602 
10 ,20 ,170 ,15 ,25 ,17.2463 ,9.4701 ,17.5345 ,0.2883 
100 ,20 ,170 ,15 ,25 ,19.0853 ,6.5493 ,18.5252 ,0.5601 
20 ,20 ,170 ,15 ,25 ,17.5385 ,8.8251 ,17.8434 ,0.3049 
30 ,20 ,170 ,15 ,25 ,17.8323 ,8.2031 ,18.1326 ,0.3002 
40 ,20 ,170 ,15 ,25 ,18.1230 ,7.6230 ,18.3902 ,0.2672 
50 ,20 ,170 ,15 ,25 ,18.3903 ,7.1402 ,18.5852 ,0.1949 
60 ,20 ,170 ,15 ,25 ,18.6284 ,6.7671 ,18.7113 ,0.0828 
70 ,20 ,170 ,15 ,25 ,18.8222 ,6.5241 ,18.7625 ,0.0597 
80 ,20 ,170 ,15 ,25 ,18.9670 ,6.4141 ,18.7397 ,0.2273 
90 ,20 ,170 ,15 ,25 ,19.0555 ,6.4242 ,18.6584 ,0.3972 
10 ,20 ,180 ,15 ,25 ,17.4715 ,8.9145 ,16.5363 ,0.9352 
100 ,20 ,180 ,15 ,25 ,18.9767 ,6.1464 ,17.6541 ,1.3227 
20 ,20 ,180 ,15 ,25 ,17.5624 ,8.4442 ,16.8174 ,0.7450 
